from_id,to_id,fromid_toid,route_number,at,from_x,from_y,to_x,to_y,total_route_time,route_time,route_distance,route_total_lines
5861326,5865048,5861326_5865048,1,08:06:00,24.9704379,60.3119173,24.9300256,60.306803,44,38,4021.9,1
5861326,5865049,5861326_5865049,1,08:06:00,24.9704379,60.3119173,24.9345467,60.3068734,46,42,4321.6,1
5861326,5865050,5861326_5865050,1,08:00:00,24.9704379,60.3119173,24.9390678,60.3069436,40,40,2788.3,0
5861326,5865051,5861326_5865051,1,08:00:00,24.9704379,60.3119173,24.9435889,60.3070136,33,30,2819,1
5861326,5865052,5861326_5865052,1,08:00:00,24.9704379,60.3119173,24.9481101,60.3070835,33,29,2799.7,1
5861326,5865053,5861326_5865053,1,08:00:00,24.9704379,60.3119173,24.9526313,60.3071532,25,21,2229.3,1
5861326,5865054,5861326_5865054,1,08:00:00,24.9704379,60.3119173,24.9571525,60.3072228,26,22,2313.8,1
5861326,5865055,5861326_5865055,1,08:00:00,24.9704379,60.3119173,24.9616737,60.3072923,14,14,1000.3,0
5861326,5865056,5861326_5865056,1,08:00:00,24.9704379,60.3119173,24.966195,60.3073615,17,17,1186.1,0
5861326,5865057,5861326_5865057,1,08:00:00,24.9704379,60.3119173,24.9707162,60.3074307,11,11,736.3,0
5861326,5865058,5861326_5865058,1,08:00:00,24.9704379,60.3119173,24.9752375,60.3074996,9,9,622.2,0
5861326,5865059,5861326_5865059,1,08:00:00,24.9704379,60.3119173,24.9797588,60.3075685,14,14,984.1,0
5861326,5865060,5861326_5865060,1,08:00:00,24.9704379,60.3119173,24.9842802,60.3076371,18,18,1238.7,0
5861326,5865061,5861326_5865061,1,08:00:00,24.9704379,60.3119173,24.9888015,60.3077056,31,31,2136.9,0
5861326,5865062,5861326_5865062,1,08:01:00,24.9704379,60.3119173,24.9933229,60.307774,27,20,2652.9,1
5861326,5865063,5861326_5865063,1,08:01:00,24.9704379,60.3119173,24.9978443,60.3078422,30,24,2948.6,1
5861326,5865064,5861326_5865064,1,08:00:00,24.9704379,60.3119173,25.0023657,60.3079102,32,26,3770.1,1
5861326,5865065,5861326_5865065,1,08:00:00,24.9704379,60.3119173,25.0068872,60.3079781,32,24,3648.3,1
